material_id,MP_sg,OQMD_sg,AFLOW_sg_orig,AFLOW_sg_relax
mp-4556,14,14,,
mp-4558,63,63,,
mp-4559,160,160,160,160
mp-4571,62,62,,
mp-4573,166,166,,
mp-4575,61,,,
mp-4578,11,11,,
mp-4582,62,62,,
mp-4584,176,,,
mp-4586,122,,,
mp-4589,14,14,,
mp-4590,227,227,,
mp-4591,14,,,
mp-4598,167,167,,
mp-4599,14,,,
mp-4602,227,227,,
mp-4604,205,205,,
mp-4608,148,148,,
mp-4609,141,141,,
mp-4618,62,62,,
mp-4622,148,148,,
mp-4624,141,141,,
mp-4626,62,62,,
mp-4627,29,,,
mp-4632,166,166,,
mp-4636,166,166,,
mp-4643,60,60,,
mp-4644,141,,,
mp-4648,57,57,,
mp-4649,15,15,,
mp-4651,140,140,,
mp-4655,62,62,,
mp-4657,61,61,,
mp-4658,15,15,,
mp-4659,61,,,
mp-4661,14,14,,
mp-4662,14,,,
mp-4666,122,122,,
mp-4669,61,,,
mp-4672,142,,,
mp-4673,63,63,,
mp-4674,113,,,
mp-4675,127,127,,
mp-4681,26,26,26,26
mp-4682,62,62,,
mp-4690,121,121,,
mp-4691,11,11,11,11
mp-4693,59,,,
mp-4698,62,,,
mp-4699,63,63,,
mp-4701,2,2,,
mp-4709,15,15,,
mp-4710,167,167,,
mp-4718,15,15,,
mp-4721,14,14,,
mp-4727,14,,,
mp-4730,82,82,82,82
mp-4731,189,189,,
mp-4733,15,15,,
mp-4734,14,14,,
mp-4736,14,,,
mp-4747,55,55,,
mp-4748,63,,63,63
mp-4752,128,128,,
mp-4753,58,58,,
mp-4757,88,88,,
mp-4758,14,,,
mp-4759,206,,,
mp-4762,60,60,,
mp-4763,122,122,,
mp-4764,164,164,,
mp-4769,14,,,
mp-4770,70,70,,
mp-4779,110,,,
mp-4782,148,,,
mp-4784,63,63,,
mp-4789,62,62,,
mp-4790,141,141,,
mp-4794,2,2,,
mp-4800,136,,,
mp-4804,2,2,,
mp-4805,164,164,,
mp-4807,62,,62,62
mp-4809,82,82,82,82
mp-4812,217,217,,
mp-4816,14,,,
mp-4818,14,14,,
mp-4819,15,15,,
mp-4820,141,141,,
mp-4824,129,129,,
mp-4825,218,218,,
mp-4829,150,150,,
mp-4840,122,122,,
mp-4841,14,,,
mp-4842,227,227,,
mp-4843,198,,,
mp-4851,14,,,
mp-4855,148,,,
mp-4867,15,15,,
mp-4871,15,,,
mp-4875,13,13,,
mp-4876,198,198,,
mp-4886,166,166,,
mp-4887,194,,194,194
mp-4888,129,129,,
mp-4891,62,62,,
mp-4899,122,122,,
mp-4900,167,,167,167
mp-4906,31,31,,
mp-4907,15,15,,
mp-4917,14,14,,
mp-4929,62,62,,
mp-4930,63,63,,
mp-4934,62,62,,
mp-4937,114,114,,
mp-4941,64,64,,
mp-4950,221,221,,
mp-4953,122,122,,
mp-4959,62,62,,
mp-4961,139,,,
mp-4964,216,,,
mp-4967,62,62,,
mp-4971,68,68,,
mp-4974,227,227,,
mp-4975,194,194,,
mp-4979,122,122,122,122
mp-4988,14,14,,
mp-4991,227,227,,
mp-4995,52,52,,
mp-5001,14,14,,
mp-5004,15,,,
mp-5005,58,58,,
mp-5012,36,36,,
mp-5013,62,62,,
mp-5014,62,26,,
mp-5020,160,221,,
mp-5024,205,,,
mp-5026,60,60,,
mp-5029,33,33,,
mp-5033,225,225,,
mp-5036,142,,142,142
mp-5038,15,15,15,15
mp-5039,14,,,
mp-5040,14,14,,
mp-5045,14,14,,
mp-5046,82,82,,
mp-5048,122,122,,
mp-5052,33,62,,
mp-5053,62,,,
mp-5055,186,,,
mp-5056,62,,,
mp-5061,12,12,,
mp-5065,2,2,,
mp-5072,139,139,,
mp-5073,144,144,,
mp-5076,140,140,,
mp-5077,225,,,
mp-5078,88,88,,
mp-5079,59,,,
mp-5081,14,14,,
mp-5088,141,141,,
mp-5094,148,,,
mp-5096,74,74,,
mp-5104,88,88,,
mp-5114,186,186,,
mp-5116,7,7,,
mp-5121,15,15,,
mp-5122,72,72,,
mp-5126,62,62,,
mp-5127,139,139,,
mp-5132,141,141,,
mp-5141,70,70,,
mp-5142,148,148,,
mp-5145,161,161,161,161
mp-5146,227,227,,
mp-5151,9,9,9,9
mp-5152,14,14,,
mp-5156,205,,,
mp-5158,62,36,62,62
mp-5163,62,62,,
mp-5168,62,62,,
mp-5175,166,166,,
mp-5185,62,62,,
mp-5189,152,,152,152
mp-5190,122,122,,
mp-5193,62,62,,
mp-5206,14,,,
mp-5207,220,,,
mp-5213,122,122,,
mp-5214,206,,,
mp-5222,216,216,,
mp-5223,62,62,,
mp-5224,15,15,,
mp-5226,62,62,,
mp-5229,221,221,,
mp-5238,122,122,,
mp-5241,142,,142,142
mp-5245,215,215,,
mp-5246,38,38,38,38
mp-5248,14,14,,
mp-5251,62,62,,
mp-5256,131,131,,
mp-5259,127,,,
mp-5263,4,,,
mp-5273,166,166,166,166
mp-5274,12,12,,
mp-5279,14,,,
mp-5280,12,12,,
mp-5282,14,,14,14
mp-5285,62,62,,
mp-5295,88,88,88,88
mp-5304,221,221,,
mp-5308,62,,,
mp-5309,140,140,,
mp-5327,87,87,,
