material_id,full_formula,icsd_ids,band_gap,spacegroup,pretty_formula
mp-568423,Al4P4I32,[35403],1.4267999999999998,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pna2_1', 'number': 33, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'P 2c -2n'}",AlPI8
mp-569964,Cd8I16,[35446],2.4192,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-627557,Cd9I18,[35447],2.3697,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-669360,Cd12I24,[35448],2.3549,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-680152,Cd15I30,[35449],2.3828,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-569468,Cd16I32,[35450],2.4319,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-571569,Cd9I18,"[42221, 36484]",2.3792,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-680093,Cd11I22,"[36486, 42230]",2.351,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-680094,Cd11I22,"[36487, 42231]",2.3759,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-571603,Cd12I24,"[42236, 36488]",2.3923,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-680115,Cd14I28,"[36489, 42243]",2.3783,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-680120,Cd15I30,"[42248, 36490]",2.3851,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
