material_id,full_formula,icsd_ids,band_gap,spacegroup,pretty_formula
mp-2700,Ca1Si2,"[193539, 409057, 15632]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'R-3m', 'number': 166, 'point_group': '-3m', 'crystal_system': 'trigonal', 'hall': '-R 3 2""'}",CaSi2
mp-2716,Ti9Ni9,"[156443, 166370, 150943, 166010, 240194, 155028, 160325, 160327]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P-3', 'number': 147, 'point_group': '-3', 'crystal_system': 'trigonal', 'hall': '-P 3'}",TiNi
mp-27165,Hf8Ni21,"[638694, 2416]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P-1', 'number': 2, 'point_group': '-1', 'crystal_system': 'triclinic', 'hall': '-P 1'}",Hf8Ni21
mp-27166,Hf6Ni14,[2417],0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P-1', 'number': 2, 'point_group': '-1', 'crystal_system': 'triclinic', 'hall': '-P 1'}",Hf3Ni7
mp-2717,Zr2Ni7,[647170],0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'C2/m', 'number': 12, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-C 2y'}",Zr2Ni7
mp-27191,Zr36S8,[2774],0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4_1/amd', 'number': 141, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': 'I 4bw 2bw -1bw'}",Zr9S2
mp-27221,Ca2Hf7O16,[4136],4.3193,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'R-3', 'number': 148, 'point_group': '-3', 'crystal_system': 'trigonal', 'hall': '-R 3'}",Ca2Hf7O16
mp-27254,Ba2Te4O12,"[239063, 239062, 8017]",1.8269999999999995,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmcm', 'number': 63, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-C 2c 2'}",Ba(TeO3)2
mp-2729,Sn14Os6,"[54605, 105567]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Im-3m', 'number': 229, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-I 4 2 3'}",Sn7Os3
mp-27295,Mg28Ge10O48,[9371],3.4454999999999996,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pbam', 'number': 55, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-P 2 2ab'}",Mg14Ge5O24
mp-27358,Se8O20,[10471],3.0247,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1/c', 'number': 14, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2ybc'}",Se2O5
mp-27388,Ba2Si4Ni4,[14110],0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmcm', 'number': 63, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-C 2c 2'}",Ba(SiNi)2
mp-2739,Te4O8,"[62897, 655884, 62898]",2.8949,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P4_32_12', 'number': 96, 'point_group': '422', 'crystal_system': 'tetragonal', 'hall': 'P 4nw 2abw'}",TeO2
mp-2746,Mo1C1,"[618306, 77157, 183165, 618302, 43523]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",MoC
mp-27499,Ba4Te4S12,[8],1.9489999999999998,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pnma', 'number': 62, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-P 2ac 2n'}",BaTeS3
mp-27512,Cr2Ni1S4,[16884],0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'C2/m', 'number': 12, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-C 2y'}",Cr2NiS4
mp-27519,Se8O24,[18180],2.4589,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P-42_1c', 'number': 114, 'point_group': '-42m', 'crystal_system': 'tetragonal', 'hall': 'P -4 2n'}",SeO3
